id,requester_id,subject,status,priority,created_at
93577,9ced98bd-fc4d-412d-9eb0-684d278105c5,Three why employee international agent you question.,closed,high,2023-05-27 23:40:05
62948,8ffbeb63-f55f-4e55-96a2-aaa66eaecd8d,World per back look be.,open,normal,2025-06-27 05:53:24
80149,d4b39d95-f7f7-4eae-95ea-fc68ec74bd5a,Your name at modern college who officer.,closed,normal,2025-07-06 19:01:39
16312,b166fd86-5e5c-4ee1-b5c2-6e6aa97ed07b,Wind ten skill fight young.,solved,normal,2024-11-11 10:18:25
82499,38fd441d-bc87-4225-bbe6-74a411214e32,May modern try discussion growth others hear.,solved,low,2025-02-04 16:42:37
35381,31068537-b377-4441-a380-de0c4dd02aa4,Lead strategy nice fear.,solved,normal,2025-05-14 15:34:16
78188,d13ea7f4-bf06-4d36-b3ef-ea39861ba03b,Item easy right physical deep water south.,closed,normal,2025-04-24 02:50:19
52381,a52cb870-4b60-4d4c-b6a7-4cf5736d9c32,Seek might pass create particularly.,closed,normal,2024-01-09 20:22:10
26666,dfcd7a23-5727-4cb1-b9ae-68ec5fe5380a,Current home administration direction majority.,open,low,2025-05-16 20:09:51
21831,427941e5-be04-4c46-b8d5-8a4c66945a11,Discuss send since through.,open,normal,2025-05-16 02:19:27
19455,d006fca5-a3ae-45fc-9af4-a4495e93958c,Item against oil party.,solved,low,2024-11-15 10:11:29
63582,10ff8b08-6545-4339-8ee3-bdbaddd8793c,Mind necessary step several field word.,closed,high,2024-07-20 02:17:54
84892,25d7668d-eb7d-4fce-9620-f3a5bca79866,Rise computer road set car thousand cover.,solved,normal,2025-04-24 02:41:01
27260,e3e680ab-2525-4f35-b8cd-347af66d4815,Over half glass where.,closed,low,2024-10-09 19:21:04
22106,27ba9973-3d42-4ebd-abd7-f1be8b43446f,Add fact approach.,open,high,2024-06-08 17:33:57
40728,80b9e10a-d615-4de3-bbcb-154db0807f93,List tonight national sure.,solved,normal,2025-06-25 14:45:04
42480,6cabd9c8-2f96-406c-9d57-162d583e5675,Owner you kitchen much decade arrive.,solved,normal,2024-06-23 20:53:37
97549,076944df-817e-4159-acf4-2c735120950b,Process prove everything answer represent interview make.,closed,normal,2024-12-15 15:37:13
95559,e7549e7b-9f12-4613-8af2-b8a0b3025654,Start design rise might.,solved,normal,2025-07-07 08:01:22
70075,88e75d77-3ab4-424c-a6f2-d1d6b7761dfd,Case edge require laugh statement seat blood.,solved,normal,2025-06-21 01:04:24
95971,b414f9e3-85f6-4908-a667-5ecd5ce68c04,Hear center art together.,open,high,2025-05-20 10:27:10
89858,03d2d8a2-5552-4d68-80e7-2b2a3c9a5a2e,Bar act share reach.,closed,normal,2025-05-26 19:39:01
36847,6a41696f-903d-4ed8-95b1-98bf418eaf4b,American peace hotel use special party.,open,high,2025-05-01 23:42:05
35553,b846f723-7c7a-4ac5-86ae-a90c2b97b3e6,But get road strategy take staff set east.,solved,normal,2023-12-03 17:35:04
55442,36263bd2-7a92-4397-9fa9-427d201d23b1,Design individual coach art site white maintain.,open,high,2024-06-05 17:37:55
44320,5ae968aa-b0d4-4c43-86fc-8e78fc580bad,Throughout often raise.,closed,high,2025-02-19 20:45:06
88360,198aa92c-3a0e-4e90-b5f2-34171eb8ba78,These add head bad light report let.,open,normal,2024-11-07 04:49:59
21640,b2dd4422-0562-44c8-af72-4261b04a1655,Subject table thing fire western.,closed,normal,2023-05-27 12:36:37
83033,40355712-25af-4738-984f-ddc7456cb41c,Born security civil company imagine rise individual.,solved,low,2025-03-28 14:23:37
73738,7f5433e1-d8f2-47b2-b94e-ed8eebc621ab,Source hour safe.,open,normal,2025-02-13 18:34:34
43201,0522af07-8f64-47bf-9ea7-3cf5d41ef3a7,Relationship heavy building once check.,open,low,2025-03-13 11:30:14
72666,74a82b24-f7dd-411b-9e9a-229e56854dc8,Policy owner among personal green dog.,solved,high,2024-05-27 02:25:09
98697,1bc7fa94-3be0-43d1-af8f-b879f893ddf3,Hour seek successful.,solved,normal,2023-11-22 14:10:22
58876,561b4662-c715-4189-946e-059e97df1452,Without tax control player consider exist.,closed,high,2025-04-09 05:55:06
79294,54b6775c-56f1-45c6-84c8-34970e406964,No quality maintain drop method and.,open,normal,2022-05-22 09:03:49
89774,a1e820a5-a64f-4925-87d7-6bdef1ebed09,Hand mother difference relationship.,open,normal,2023-08-06 00:44:55
10338,63766c59-91c4-4e78-9871-a0e707b0bb58,Occur traditional take or large I road.,solved,high,2024-10-10 19:42:59
39739,7f17fb05-7435-42ca-a92c-90f77788b458,Bring life treatment figure until.,closed,low,2025-02-19 05:24:54
56529,5a25cdc2-920a-4834-99a3-ff3260fbf9ee,Southern authority short conference peace.,solved,normal,2024-02-12 09:12:55
73738,9644ed6e-ced8-408b-bff3-79713c5dd885,Project range network ask.,closed,high,2023-06-23 12:30:44
77044,d2c4f26b-e852-4162-ba31-9cef2be5469e,Wall wrong choice billion charge break suggest.,solved,normal,2025-04-07 07:50:52
76746,2a4ef083-90f6-43e5-9866-279fb65c1573,Popular get middle think.,open,normal,2024-09-10 02:29:46
64543,c3989c68-6c2d-4d6c-b049-a78a1d835792,Nearly training candidate use throughout.,closed,normal,2025-07-01 05:08:43
70915,61dede32-a94c-481c-a5a1-a55f55ccf290,Purpose believe official instead old study democratic.,solved,high,2023-10-09 03:21:20
99482,2f60f572-9e40-484f-a597-7dae20264408,Himself up imagine firm view.,open,normal,2023-03-25 03:32:45
81651,60901a24-97ff-4970-acc5-af2b72099e15,Claim discuss child news.,open,normal,2025-03-30 13:30:43
72415,a5f6338c-ecbe-4334-b926-c9cd008d88f8,Listen choice gas cell often matter name.,open,high,2025-03-26 16:00:03
25566,ccf8f1d6-2a1b-43f2-a356-a61f127bb4fd,Necessary phone measure while magazine cold.,open,high,2025-06-08 00:54:21
39003,13fe9171-bf3b-46bb-b8ff-8222f5fa2f32,Traditional glass explain special.,solved,normal,2025-07-18 09:57:22
63806,bea57d2b-3f83-4dd1-b014-24ded4477c4a,Us feeling want.,solved,normal,2025-04-02 23:49:37
88865,88ce7739-5191-4362-8aab-ac46f8319db2,Discover dinner treat.,solved,normal,2024-03-09 19:25:59
94225,ca49cda1-3ae2-4580-87f9-2b2f08943539,Politics military bit shake whatever.,solved,low,2025-05-28 02:06:21
29892,f07f4a9d-a331-43f2-949b-504cce036595,Visit government whom debate.,closed,normal,2023-05-01 08:10:07
59018,da35191c-e1c2-4c07-8219-65044fe117f3,One big until action appear modern.,solved,normal,2023-02-23 22:02:05
24921,dde95ec5-1485-456a-8930-c679f251d9fc,Teacher pull head southern.,solved,low,2024-10-07 03:10:12
23215,fced5eee-9679-48e9-8c27-a2705aace7dc,Head laugh foreign both other company each.,closed,high,2024-08-29 21:21:38
32522,fd47227f-853c-4ea1-852c-7e1a8a33e64c,Always carry fall every single alone price.,solved,high,2024-07-10 10:30:54
88882,2b7461f2-c10d-4bfb-9c56-7fcb5d599745,Four explain decide.,solved,low,2023-05-05 00:26:28
12866,bdd6e977-6926-4d33-8c6f-322f39ca84d9,Act list so him contain when speak.,solved,high,2024-03-04 06:12:59
66926,a023c6ff-4dec-43ae-af78-521f446aeab1,Main garden total room change trouble type.,solved,low,2023-03-11 02:52:49
17212,0aad278d-5038-4ba3-b6f0-a4ab3b436ef2,Field everyone participant gun.,solved,high,2023-04-20 05:04:29
47259,38b655c3-8f3f-490c-8c73-b3487b1664b1,Blood range million long.,closed,low,2024-04-07 04:19:54
